project_name,address,city,zip,units,sources,owner_operator,contact_email,multi_program_overlap
Grant Street Senior Apts,430 Grant St,Bridgeport,06610,92,Section8_Multifamily,Grant Street Senior Apartments LLC,james.carmichael@ahm-llc.com,No
ELTON HFA,30 W MAIN ST,WATERBURY,06702,91,LIHTC,,,No
YORKSHIRE VILLAGE ASSOC,465 MIDDLE RD,FARMINGTON,06032,91,LIHTC,,,No
FAIRGATE,90 FAIRFIELD AVE,STAMFORD,06902,90,LIHTC,,,No
ZBIKOWSKI PARK,"10 SALLADIN ROAD, ALSO LILLIAN, ARMAND, + ROLLINSON RDS. AND LAKE AVE.",BRISTOL,06010,90,LIHTC,,,No
VICTORIA GARDENS,105 BOSTON POST ROAD,WATERFORD,06385,90,LIHTC,,,No
DELORENZO TOWERS,284 N Main St,Bristol,06010,90,Section8_Multifamily,EHDOC Anthony DeLorenzo Towers Limited Partnership,sprotulis@ehdoc.org,No
HEVRIN TERRACE,71-73 Keating Street,WILLIMANTIC,06226,90,Section8_Multifamily,The Housing Authority of the City of Willimantic,hacowkim@yahoo.com,No
M. D. Fox Manor,461 Washington St,Hartford,06106,90,Section8_Multifamily,461 Washington Street Limited Partnership,pdimeo@dimeoproperties.com,No
Stamford Green Apts,482 W. Main St,Stamford,06902,90,Section8_Multifamily,STAMFORD GREEN COMPANY,RKargman@bostonland.com,No
Fairgate Apts,19-49 Fairgate Drive,Stamford,06902,90,Section8_Multifamily,Fairfield Court Limited Partnership,cwarren@rippowamcorp.org,No
ROBERT T. WOLFE APARTMENT,49 Union Ave,New Haven,06519,90,Public_Housing,Housing Authority of the City of New Haven,,No
332 DEMING ROAD ASSOC LP,332 DEMING RD,BERLIN,06037,88,LIHTC,,,No
SIGOURNEY MEWS,206 COLLINS ST,HARTFORD,06105,88,LIHTC,,,No
HORACE BUSHNELL APTS,40 VINE ST,HARTFORD,06112,88,LIHTC,,,No
PARK RIDGE II,25 HARD ST,NEW HAVEN,06515,88,LIHTC;Section8_Multifamily,PARK RIDGE ASSOCIATES II,jsm@giordanomail.com,Yes
KELLY ROAD,25 GERBER RD E,SOUTH WINDSOR,,88,LIHTC,,,No
CLINTON MANOR,22 CLINTON AVENUE,STAMFORD,06901,88,LIHTC,,,No
LITTLE BROOK (FKA DEMING RIDGE),833 DEMING ROAD,BERLIN,06037,88,LIHTC,,,No
Federation Square Apts,2 STARKEL ROAD,WEST HARTFORD,06117,88,Section8_Multifamily,"Starkel Road Associates, L.P.",gkonover@simonkonover.com,No
MOOSUP GARDENS,10 Gorman Street,MOOSUP,06354,88,Section8_Multifamily,"Vesta Moosup 2017,LLC",emily@vestacorp.com,No
SEABURY COOPERATIVE,400 Elm St,New Haven,06511,88,Section8_Multifamily,SEABURY CO-OP Inc.,p2taylor1@yahoo.com,No
MARTIN LUTHER KING APARTMENTS,40 Stillwater Ave,Stamford,06902,88,Section8_Multifamily,MLK LLC,lchen@newneighborhoods.org,No
WOODCREST ELDERLY,63 BATTLE ST,SOMERS,06071,86,LIHTC,,,No
SAINT PAULS FLAX HILL CO-OP,28 Dr Martin Luther King Jr Dr,Norwalk,06854,86,Section8_Multifamily,"ST.PAULS FLAX HILL CO-OP, INC.",R.A.Carrnza@gmail.com,No
MEADOW HILL APARTMENTS,452 Main St,East Hartford,06118,86,Public_Housing,East Hartford Housing Authority,,No
BRIDGEPORT ELDERLY APTS,2400 N AVE,BRIDGEPORT,06604,85,LIHTC,,,No
BRIDGEPORT ELDERLY APARTMENTS,2400 NORTH AVE,BRIDGEPORT,06604,85,Section8_Multifamily,Holmstead Housing Associates Limited Partnership,melinda.whittaker@wishrockgroup.com,No
Ogden House,100 River Rd,Wilton,06897,85,Section8_Multifamily,OGDEN HOUSE INC.,rsanders@rsarchct.com,No
SEYMOUR HOLLANDER,4190 PARK AVE,BRIDGEPORT,06604,85,Section8_Multifamily,The Greater Bridgeport Jewish Housing Corporation,arthur@hollanderhouse.org,No
COUNTRY PLACE,1 BIRCH CIR,COLCHESTER,06415,84,LIHTC,,,No
SAGE POND PLACE,1725 BERLIN TPKE,BERLIN,06037,84,LIHTC,,,No
STONEBRIDGE BERLIN II,78 STONEBRIDGE WAY,BERLIN,06037,84,LIHTC,,,No
BARNUM HOUSE,140 FAIRFIELD AVE,BRIDGEPORT,06604,84,LIHTC;Section8_Multifamily,Barnum House Preservation LP,dpearson@related.com,Yes
Dobbs Crossing Apts,1170 Hartford Turnpike,Vernon,06066,84,Section8_Multifamily,Dobbs Crossing Owner LLC,rgropper@camberpg.com,No
TALCOTT GARDENS,34 Talcott St,New Britain,06051,84,Section8_Multifamily,Talcott Gardens Limited Partnership,MFinkle@related.com,No
INTERFAITH VILLAGE,3 Bestor Lane,BLOOMFIELD,06002,84,Section8_Multifamily,Interfaith Homes Inc,ezra@stratfordmgt.comcastbiz.net,No
OLD TALCOTT MILL (THE),47 MAIN STREET,VERNON,06066,83,LIHTC,,,No
COUNTY PLACE PHASE II,1 COBBLE WAY,COLCHESTER,06415,82,LIHTC,,,No
BEECHWOOD GARDENS,600 WHALLEY AVENUE,NEW HAVEN,06511,82,LIHTC,,,No
BEECHWOOD GARDENS,572 Whalley Ave,New Haven,06511,82,Section8_Multifamily,Vesta Beechwood Gardens LLC,alund@vestacorp.com,No
TRINITY NEW HAVEN HOUSING,2 JOHN WILLIAMSON DR,NEW HAVEN,06513,81,LIHTC;Public_Housing,Housing Authority of the City of New Haven,,Yes
RENAISSANCE PLAZA,210 WASHINGTON AVE,BRIDGEPORT,06604,81,LIHTC,,,No
QUINNIPIAC TERRACE PHASE I,378 FRONT ST,NEW HAVEN,06513,81,LIHTC,,,No
Danbury Tower,40 William St,Danbury,06810,81,Section8_Multifamily,Danbury Tower Preservation LP,david.pearson@related.com,No
RIPPOWAM MANOR,11 NORTH ST,STAMFORD,06902,81,Section8_Multifamily,NORTH STREET LIMITED PARTNERSHIP,JGottlieb@charteroakcommunities.org,No
Willow Arms Tariffville,55 Elm St,Tariffville,06081,81,Section8_Multifamily,Willow Arms Mutual Housing LLC,cmackinnon@mutualhousing.org,No
BRISTOL COMMUNITIES LP,47 49 NORRIS DR,BRISTOL,,80,LIHTC,,,No
BROOKSIDE PHASE II RENTAL,2 BOSLEY ST,NEW HAVEN,,80,LIHTC,,,No
DIAMOND COURT,150 MANHAN ST,WATERBURY,06710,80,LIHTC,,,No
CHARLES STREET PLACE,122 CHARLES ST,MERIDEN,06450,80,LIHTC,,,No
WASHINGTON VILLAGE PHASE 1,13 + 20 DAY STREET,NORWALK,06854,80,LIHTC,,,No
COLUMBUS COMMONS PHASE I,125 COLUMBUS BOULEVARD,NEW BRITAIN,06051,80,LIHTC,,,No
OAKLAND GARDENS,300 BRITTANNIA ST,MERIDEN,06450,80,Section8_Multifamily,"CR Oakland, Limited Partnership",ssattler@carabetta.com,No
CATHEDRAL MANORS,1132 Albany Ave.,HARTFORD,06112,80,Section8_Multifamily,FIRST HOUSING CORPORATION,lpaymar@yahoo.com,No
WOODVIEW APARTMENTS OAKVILLE,88 Cobb St,Oakville,06779,80,Section8_Multifamily,Woodview Preservation LP,david.pearson@related.com,No
REV ALBERT A. CALLAHAN,32 Smith St,Seymour,06483,80,Public_Housing,Housing Authority of the Town of Seymour,,No
CHESTNUT GROVE APTS,80 Chestnut St,Winsted,06098,80,Public_Housing,Winchester Housing Authority,,No
GAYLORD TOWER,70 Gaylord St,Bristol,06010,80,Public_Housing,Bristol Housing Authority,,No
SUMNER HOUSE,57 SUMNER ST,HARTFORD,06105,79,LIHTC,,,No
TRINITY NEW HAVEN HOUSING II,381 FRONT ST,NEW HAVEN,06513,79,LIHTC,,,No
QUINNIPIAC TERRACE PHASE II,1435 QUINNIPIAC AVE,NEW HAVEN,06513,79,LIHTC,,,No
TORRINGFORD WEST APARTMENTS,356 TORRINGFORD WEST STREET,TORRINGTON,06790,79,LIHTC;Section8_Multifamily,POAH Torringford West LLC,aanthony@poah.org,Yes
AVERY PARK REVITALIZATION (AKA WOODLAND SPRINGS PHASE I),55 WOODLAND SPRINGS DRIVE,STAFFORD SPRINGS,06076,79,LIHTC,,,No
CASA NUEVA,605-7 Broad ST,HARTFORD,06106,79,Section8_Multifamily,Steele Casa Nueva LIHTC LLC,compliance@monroegroup.com,No
HALES COURT HOUSING LLC,HALES CT,WESTPORT,,78,LIHTC,,,No
WILLIAM T ROWE,33 SYLVAN AVE,NEW HAVEN,06519,78,LIHTC;Public_Housing,Housing Authority of the City of New Haven,,Yes
CITYSCAPE APTS,1642 BROAD ST,HARTFORD,06106,77,LIHTC,,,No
ROCKVIEW PHASE I RENTAL,300 WILMOT ROAD,NEW HAVEN,06515,77,LIHTC,,,No
HAMDEN SPECIALTY HOUSING,415 MATHER STREET,HAMDEN,06514,77,LIHTC;Section8_Multifamily,"Hamden Specialty Housing, LLC",Ken@Regandevelopment.com,Yes
HARBOURSITE APTS.,511 SHIPPAN AVE,STAMFORD,06902,77,Section8_Multifamily,National Church Residences of Stamford CT Inc,cturner@nationalchurchresidences.org,No
ASYLUM HILL VENTURES,221 MAIN ST,HARTFORD,06106,76,LIHTC,,,No
PALMERS SQUARE,26 PALMERS HILL,STAMFORD,06902,76,LIHTC,,,No
MARKET SQUARE APARTMENTS,65 CONSTANCE LEIGH DRIVE,NEWINGTON,06111,76,LIHTC;Section8_Multifamily,Market Square Preservation LP,mfinkle@related.com,Yes
STONINGTON ARMS,133 SOUTH BROAD ST,PAWCATUCK,06379,76,Section8_Multifamily,Sr. Citizens Housing Develop. Corp. of Stonington,sprotulis@ehdoc.org,No
TRUMAN APTS,70 Lakewood Rd,Waterbury,06704,76,Public_Housing,Waterbury Housing Authority,,No
THE WAUREGAN,25 BROADWAY,NORWICH,06360,75,LIHTC,,,No
NINTH SQUARE BLOCK 236,85 ORANGE ST,NEW HAVEN,06510,75,LIHTC,,,No
117 WELLS,117 Wells Rd,Wethersfield,06109,75,Section8_Multifamily,"FIRST CHURCH HOUSING, INC",firstchurch@imagineersllc.com,No
Fresh Water Pond Apts,1 Thistle Ln,Enfield,06082,75,Section8_Multifamily,Fresh Water Pond Preservation LP,david.pearson@related.com,No
Village Court,70 Mechanic St,Norwich,06360,75,Section8_Multifamily,Village Court Preservation LP,david.pearson@related.com,No
Inner City Homes,169 North Elm St.,Waterbury,06702,75,Section8_Multifamily,Inner City Homes LLC,afaks@finance36.com,No
URBAN PRESERVATION ASSOC,400 WASHINGTON ST,HARTFORD,06106,74,LIHTC,,,No
BRADLEY ESTATES PHASE I,435 BRADLEY AVE,MERIDEN,06451,74,LIHTC;Section8_Multifamily,Bradley Phase I L.P.,aan@fac-llc.com,Yes
VICTORY GARDENS,555 WILLARD AVENUE,NEWINGTON,06111,74,LIHTC,,,No
HORACE BUSHNELL APARTMENTS,4-40 VINE STREET AND 117-123 MAGNOLIA STREET,HARTFORD,06103,74,LIHTC,,,No
BARBOUR GARDENS APTS,888 Garden Street,Hartford,06120,74,Section8_Multifamily,Hartford Preservation A LLC,dmcarthy@heritagehousinginc.com,No
DUTCH POINT RENTAL PHASE II,137 WYLLYS ST,HARTFORD,06106,73,LIHTC,,,No
WATSON FARM ASSOC,700 DEMING ST,SOUTH WINDSOR,06074,72,LIHTC,,,No
THE RESIDENCES AT LAUREL HILL,40-64 LAUREL ROAD,BROOKFIELD,06804,72,LIHTC,,,No
CENTER VILLAGE,75 NEW LONDON TURNPIKE,GLASTONBURY,06033,72,LIHTC,,,No
OAK TREE VILLAGE,89 + 97 PRESTON RODE,GRISWOLD,06351,72,LIHTC,,,No
ELLA GRASSO GARDENS,65 BALLOU ST,PUTNAM,06260,72,Section8_Multifamily,VALLEY VILLAGE ASSOCIATES LIMITED PARTNERSHIP,bob@resman.net,No
MAIN & PAVILION,17-19 Barbour St.,HARTFORD,06120,72,Section8_Multifamily,PAVILION ASSOCIATES,marchitto6@aol.com,No
Augustana Homes - Jewett,280 JEWETT AVENUE,BRIDGEPORT,06606,72,Section8_Multifamily,AH Jewett Acquisition LLC,zack.simmons@related.com,No
Pilgrim Towers Apts.,25 Washington Ct,Stamford,06902,72,Section8_Multifamily,"Pilgrim Towers, Inc.",fourbears@aol.com,No
Cedar Pointe,550 Cedar St,Newington,06111,72,Section8_Multifamily,Cedar Point Owner LLC,mhermsnstyne@dakotapartners.net,No
COURT TOWERS,21 Court St,Rockville,06066,72,Public_Housing,Vernon Housing Authority,,No
PARK RIDGE TOWER I,10 HARD ST,NEW HAVEN,06515,71,Section8_Multifamily,Park Ridge Apartments LLC,sam@thecapitalrealty.com,No
Woodside Heights,500 Woodside Ave,Middlebury,06762,71,Section8_Multifamily,"Middlebury Senior Housing Associates,  Inc.",georgestrobel@sbcglobal.net,No
NEW LONDON COMMUNITIES PHASE II LP,418 424 JEFFERSON AVE,HARTFORD,,70,LIHTC,,,No
PALACE VIEW SENIOR HOUSING,132 MAIN ST,DANBURY,06810,70,LIHTC,,,No
WAUREGAN HOTEL,192 MAIN ST,NORWICH,06360,70,LIHTC,,,No
HOLLANDER BUILDING,410 ASYLUM ST,HARTFORD,06103,70,LIHTC,,,No
JEFFERSON HEIGHTS,2380 CORBIN AVENUE,NEW BRITAIN,06053,70,LIHTC,,,No
THE TYLER (FKA EAST HAVEN HIGH SCHOOL APARTMENTS),200 TYLER STREET,EAST HAVEN,06512,70,LIHTC,,,No
BEAVER STREET COOPERATIVE,5-8 Ashe Place,DANBURY,06810,70,Section8_Multifamily,"Beaver Street Apartments Cooperative , Inc.",curranka@ct-institute.org,No
Elderly and Bond Street,300 E Main St,New Britain,06051,70,Public_Housing,Housing Authority of the CIty of New Britain,,No
Casa Verde Sur Apts,60 Wadsworth St,Hartford,06106,69,Section8_Multifamily,Hartford Preservation A LLC,dmcarthy@heritagehousinginc.com,No
HERITAGE GLEN,300 COLT HWY,FARMINGTON,06032,68,LIHTC,,,No
LOOM CITY LOFTS,215 EAST MAIN STREET,VERNON,06066,68,LIHTC,,,No
Vine Associates,68 -70 VINE ST,HARTFORD,06112,68,Section8_Multifamily,The Hartford Communities IV LLC,JCarabetta@Carabetta.com,No
NORTHEAST HARTFORD AFFORDABLE HOUSING (NHAH),150 Nelson Street,HARTFORD,06120,68,Section8_Multifamily,NHAH II LLC,ewolfe@sheldonoak.org,No
THE FAXON (FORMERLY THE ELMS),1078 NEW BRITAIN AVE,WEST HARTFORD,06610,67,LIHTC,,,No
PINNACLE HEIGHTS EXTENSION,619 SLATER RD,NEW BRITAIN,06053,66,LIHTC,,,No
OLD MIDDLETOWN,251 CT ST,MIDDLETOWN,06457,65,LIHTC;Section8_Multifamily,Old Middletown Preservation Associates Limited Par,ywaters@poahcommunities.com,Yes
PARK TERRACE MUTUAL HOUSING II,459 SUMMIT ST,HARTFORD,06106,65,LIHTC,,,No
HOME I,,NEW HAVEN,,65,LIHTC;Public_Housing,Housing Authority of the City of New Haven,,Yes
HILL HOUSING REHABILITATION - HILL HOUSING DEVELOPMENT,210 DAVENPORT AVE,NEW HAVEN,06519,65,LIHTC,,,No
DILLON PLACE,100 HENDRICXSEN AVE,HARTFORD,06106,65,LIHTC,,,No
WESTBROOK VILLAGE PHASE III,MULTIPLE ADDRESSES NEAR 144 MARK TWAIN DRIVE,HARTFORD,06112,65,LIHTC,,,No
Burritt House,67 W Main St,New Britain,06051,65,Section8_Multifamily,Burritt House Preservation LP,david.pearson@related.com,No
DeMaio Gardens,75 De Maio Dr,Milford,06460,65,Public_Housing,Milford Redevelopment and Housing Partnership,,No
Hill Central Phase I,145 - 151 Dewitt St,New Haven,06519,64,Section8_Multifamily,"HC1, LLC",rick@westmountmgmt.com,No
Columbus Commons,145 Columbus Blvd,New Britain,06051,64,Section8_Multifamily,"CC1 Owner, LLC",lbajda@dakotapartners.net,No
THAMES RIVER APARTMENTS,48 Crystal Ave,New London,06320,64,Public_Housing,New London Housing Authority,,No
TRUMBULL GARDENS TOWNHOUSES,555 Trumbull Ave,Bridgeport,06606,64,Public_Housing,Housing Authority of the City of Bridgeport,,No
TRUMBULL GARDENS TOWNHOUSES,455 Trumbull Ave,Bridgeport,06606,64,Public_Housing,Housing Authority of the City of Bridgeport,,No
24 COLONY STREET,24 COLONY ST,MERIDEN,06451,63,LIHTC,,,No
FAIR HAVEN,47 CLAY ST,NEW HAVEN,06513,63,LIHTC,,,No
FROST HOMESTEAD,16 MORTIMER STREET (AKA 37 ENOCH STREET),WATERBURY,06705,63,LIHTC,,,No
SAINT MARTIN TOWNHOUSES,200 GOFFE ST,NEW HAVEN,06511,63,Section8_Multifamily,St Martins Preservation II Limited Partnership,Owner@fairstead.com,No
Laurel Hill,50 Laurel Hill Rd,Brookfield,06804,63,Section8_Multifamily,Laurel Hill Residences LLC,lbajda@dakotapartners.net,No
RIVER RIDGE APTS,2364 STATE ST,HAMDEN,06517,62,LIHTC,,,No
ELEANOR,695 PARK AVE,BRIDGEPORT,06604,62,LIHTC;Public_Housing,Housing Authority of the City of Bridgeport,,Yes
ROCKVIEW TERRACE,6 ROCK VIEW CIR,NEW HAVEN,06515,61,LIHTC;Public_Housing,Housing Authority of the City of New Haven,,Yes
STERLING MARKET ARTIST LOFTS,1042 BROAD ST,BRIDGEPORT,06604,61,LIHTC,,,No
WOODCREST ELDERY HOUSING,71 BATTLE ST,SOMERS,06071,61,LIHTC,,,No
WASHINGTON COURT,4 VERNON ST,HARTFORD,06106,61,LIHTC,,,No
Fair Haven Elderly,25 Saltonstall Ave,New Haven,06513,61,Section8_Multifamily,FAIRHAVEN BSD LLC,Jesse@greyhillgroup.com,No
CEDARWOODS,200 CAMEO DR,WILLIMANTIC,06226,60,LIHTC,,,No
LAWNHILL TERRACE,22-238 CUSTARD ST,STAMFORD,,60,LIHTC,,,No
CORBIN HEIGHTS,2296 CORBIN AVE,NEW BRITAIN,06053,60,LIHTC,,,No
PARK HOUSING,316 PARK TER,HARTFORD,06106,60,LIHTC,,,No
POST HOUSE APTS HOPE VI,40 CLINTON AVE,STAMFORD,06901,60,LIHTC;Public_Housing,Housing Authority of the City of Stamford,,Yes
QUINTARD MANOR,18 QUINTARD TERRACE,STAMFORD,06902,60,LIHTC,,,No
TORRINGTON RIVERFRONT,100 FRANKLIN STREET,TORRINGTON,06790,60,LIHTC,,,No
Horace Bushnell Congregate Homes,51 Vine St,Hartford,06112,60,Section8_Multifamily,Horace Bushnell Congregate Homes Inc,patriciawrice@gmail.com,No
MANSFIELD-EDGEWOOD-VINE,47-49 MANSFIELD ST,HARTFORD,06112,60,Section8_Multifamily,MANSFIELD ASSOCIATES,Marchitto6@aol.com,No
ST. ELIZABETH MANOR,41 APPLEGATE LANE,EAST HARTFORD,06118,60,Section8_Multifamily,St. Elizabeth Manor Limited Partnership,jhealy@newneighborhoods.org,No
Saint Monicas Apts,3545 Main St,Hartford,06120,60,Section8_Multifamily,S.T.M. Elderly Housing Corporation,pmr.brian@gmail.com,No
Stevens Woods,165 Clintonville Rd,North Haven,06473,60,Section8_Multifamily,"North Haven Interfaith Housing, Inc.",Shawnclark1970@yahoo.com,No
KING GEORGE APTS,730 GEORGE ST,NEW HAVEN,06511,59,LIHTC,,,No
NORTHEAST AFFORDABLE,717 GARDEN ST,HARTFORD,06112,59,LIHTC,,,No
ARTSPACE NORWICH,35 CHESTNUT ST,NORWICH,06360,58,LIHTC,,,No
FAIRFIELD RIDGE APARTMENTS,1-87 FAIRFIELD RIDGE RD,DANBURY,06810,58,LIHTC,,,No
Elderly and Bond Street,40 Chestnut St,New Britain,06051,58,Public_Housing,Housing Authority of the CIty of New Britain,,No
WESTWOOD 58 PROGRESS DRIVE LP,11 WESTWOOD DR,STAMFORD,06902,57,LIHTC,,,No
HISTORIC ASYLUM HILL APT,234 ASHLEY ST,HARTFORD,06105,57,LIHTC,,,No
ANNAWAN APTS,29 ANNAWAN ST,HARTFORD,06114,57,LIHTC,,,No
NORTH END GATEWAY,1450 MAIN ST,HARTFORD,06120,57,LIHTC,,,No
FAIR STREET APTS,80 FAIR ST,NORWALK,06851,57,LIHTC,,,No
DYE HOUSE,190 PINE ST,MANCHESTER,06040,57,LIHTC,,,No
FRANKLIN SQUARE MANOR,20 Whiting St,New Britain,06051,57,Section8_Multifamily,White Mule LLC,dkovel@beaconcommunitiesllc.com,No
QUEBEC SQUARE VILLAGE,3 Quebec Sq,Brooklyn,06234,57,Section8_Multifamily,"QUEBEC SQUARE HOUSING, INC.",sandy.brodeur@gmail.com,No
WARNER GARDENS,154 WARNER ST,WATERBURY,06704,56,LIHTC,,,No
DEVCON FRANKLIN SQUARE MANOR,120 WHITING ST,NEW BRITAIN,06051,56,LIHTC,,,No
THE BETTY RUTH & MILTON B HOLLANDER FOUNDATION CENTER,15 HIGH ST,HARTFORD,06103,56,LIHTC,,,No
SMITHFIELD GARDENS ASSISTED LIVING,26 SMITH ST,SEYMOUR,06483,56,LIHTC,,,No
CEDARWOODS APARTMENTS,CAMEO DRIVE + 87 ROANOKE AVE.,WILLIMANTIC,06226,56,LIHTC,,,No
ST PAULS COMMONS,1475 B NOBLE AVENUE + 1768 BOSTON AVENUE,BRIDGEPORT,06610,56,LIHTC,,,No
Saint Mary's Elderly,1451 Main St,E Hartford,06108,56,Section8_Multifamily,St. Mary's Housing Partnership,richard@gardenhomesmanagement.com,No
Orchard Crossing,80 Glenbrook Avenue,WATERBURY,06705,56,Section8_Multifamily,Orchard Crossing LLC,scarabetta@carabetta.com,No
RIBICOFF COTTAGES (9% PHASE),200 BROOKSIDE AVE,NEW HAVEN,06515,55,LIHTC,,,No
THE ROYLE AT DARIEN (FKA OLD TOWN HALL HOMES),719 BOSTON POST ROAD,DARIEN,06820,55,LIHTC,,,No
MAIN & NELSON STS,2357-59  Main St,HARTFORD,06120,55,Section8_Multifamily,Nelson Associates,hrclauri@aol.com,No
DEERFIELD VILLAGE II,10 KING ARTHUR DR,NIANTIC,06357,54,LIHTC,,,No
WHISPERING PINES II,100 WHISPERING PINES RD,AVON,06001,54,LIHTC,,,No
DUTCH POINT COLONY HOPE VI,36 NORWICH ST,HARTFORD,06106,54,LIHTC,,,No
SASCO CREEK VILLAGE,1655 POST ROAD EAST,WESTPORT,06880,54,LIHTC,,,No
AHEPA 250 I - NIANTIC,267 ROXBURY RD,NIANTIC,06357,54,Section8_Multifamily,"AHEPA 250, INC.",mitchellterm@yahoo.com,No
WILLARD MANOR,36 VINE RD,STAMFORD,06905,54,Section8_Multifamily,Willard Manor Senior Apartments Limited Partnershi,sam@thecapitalrealty.com,No
AHEPA 250 II - WATERFORD,95 Clark Lane,WATERFORD,06385,54,Section8_Multifamily,"AHEPA 250-II, Inc.",mitchellterm@yahoo.com,No
Veterans Terrace Apartments Phase I,70 Columbus Circle,East Hartford,06108,54,Section8_Multifamily,Veterans Terrace Communities I LLC,william.stetson@carabetta.com,No
CHARLES F. GREENE HOMES,68 Highland Ave,Bridgeport,06604,54,Public_Housing,Housing Authority of the City of Bridgeport,,No
WOOSTER MANOR,25 Beaver St,Danbury,06810,54,Public_Housing,Housing Authority of the City of Danbury,,No
MEADOW HILL APARTMENTS,1403 Main St,East Hartford,06108,54,Public_Housing,East Hartford Housing Authority,,No
CHARLES F. GREENE HOMES,98 Highland Ave,Bridgeport,06604,54,Public_Housing,Housing Authority of the City of Bridgeport,,No
CHARLES F. GREENE HOMES,508 Harral Ave,Bridgeport,06604,54,Public_Housing,Housing Authority of the City of Bridgeport,,No
CHARLES F. GREENE HOMES,48 Highland Ave,Bridgeport,06604,54,Public_Housing,Housing Authority of the City of Bridgeport,,No
20 WEST AVENUE,20 West Ave,Norwalk,06854,54,Public_Housing,Housing Authority Of The City Of Norwalk,,No
RIVER MILL VILLAGE PREVIOUSLY THREE ROWS,8 CENTRAL ST,NORTH GROSVENORDALE,06255,53,LIHTC,,,No
Chase Manor II,85 Norman Rd,Norwich,06360,53,Section8_Multifamily,CHASE II ASSOCIATES,gkonover@simonkonover.com,No
CHARLES F. GREENE HOMES,629 Washington Ave,Bridgeport,06604,53,Public_Housing,Housing Authority of the City of Bridgeport,,No
SURFSIDE 200 HIGHRISE,204 Oak St,West Haven,06516,53,Public_Housing,West Haven Housing Authority,,No
NORWALK ELDERLY APTS,100 Leonard Street,NORWALK,06850,52,Section8_Multifamily,Leonard Street Preservation LLC,dmccarthy@heritagehousinginc.com,No
Pondview Apts,335 Butternut St,Middletown,06457,52,Section8_Multifamily,Pondview Apartments LLC,sam@thecapitalrealty.com,No
AHEPA 250-V,269 Roxbury Rd,Niantic,06357,52,Section8_Multifamily,"AHEPA 250 V, Inc.",mitchellterm@yahoo.com,No
HUNTERS RIDGE ASSOC,20 HUNTERS RDG,UNIONVILLE,06085,51,LIHTC,,,No
LOWER GARDEN STREET,353 GARDEN ST,HARTFORD,06112,51,Section8_Multifamily,The Hartford Communities III LLC,jcarabetta@carabetta.com,No
Veterans Terrace Phase III,148 COLUMBUS CIRCLE,EAST HARTFORD,06108,51,Section8_Multifamily,Veterans Terrace Communities III LLC,eric.polinsky@carabetta.com,No
Glen Ayre Apts.,1 Glen Ayre Dr,New Milford,06776,51,Section8_Multifamily,HILLSIDE ELDERLY HOUSING INC.,dpelletier@ehmchm.org,No
ENO FARMS,1602 HOPMEADOW ST,SIMSBURY,06070,50,LIHTC,,,No
EASTON PLACE,32 JAIDEE DR,EAST HARTFORD,06118,50,LIHTC,,,No
PARK CITY RESIDENTIAL CARE HOME,752 PARK AVE,BRIDGEPORT,06604,50,LIHTC,,,No
WESTLAND PLACE LP,275 WESTLAND ST,HARTFORD,06112,50,LIHTC,,,No
ARTSPACE WINDHAM,480 MAIN ST,WILLIMANTIC,06226,50,LIHTC,,,No
BRICK HOLLOW,555 ZION ST,HARTFORD,06106,50,LIHTC,,,No
STAMFORD METRO GREEN APTS LLC,84 HENRY ST,STAMFORD,06902,50,LIHTC,,,No
MARSHALL COMMONS (FKA LUDLOW PLACE),192 LUDLOW STREET,STAMFORD,06902,50,LIHTC,,,No
STONINGTON ACRES,134-186 STONINGTON STREET,HARTFORD,06106,50,LIHTC,,,No
PINE TREE APARTMENTS,15 PINE TREE LN,FAIRFIELD,06825,50,LIHTC;Section8_Multifamily,"Trefoil, LLC",cmartin14@snet.net,Yes
AHEPA 110 - BLDG 1,110 PUKALLUS AVE,NORWICH,06360,50,Section8_Multifamily,"AHEPA 110, Inc.",yianni7@yahoo.com,No
Canal Park/ Westport Elderly Hsg,1 Canal St,Westport,06880,50,Section8_Multifamily,Canal Park LLC,cmartin@westport.org,No
